Time (s),Shoulder Joint,Elbow Joint,Wrist Joint,Finger Joint,Drum Bead,(cm),100bpm
0,0,-7.261789169,19.22123296,33.77728215,55.53299602,,
0.004166667,0,-7.20368809,19.21349153,33.92081673,55.46150115,,
0.008333333,0,-7.151077041,19.24746179,34.09045018,55.43140891,,
0.0125,0,-7.091532569,19.3231054,34.27885201,55.44766188,,
0.016666667,0,-7.01123561,19.43614954,34.4795719,55.50946561,,
0.020833333,0,-6.898015137,19.58184226,34.68928729,55.61316039,,
0.025,0,-6.746162278,19.75397978,34.90618092,55.75187574,,
0.029166667,0,-6.560379564,19.94294021,35.12742667,55.91500819,,
0.033333333,0,-6.354598114,20.13867446,35.35045962,56.09155234,,
0.0375,0,-6.146472871,20.33481497,35.57465545,56.27352635,,
0.041666667,0,-5.949718152,20.52913291,35.80052931,56.45592798,,
0.045833333,0,-5.770691058,20.72177577,36.02872783,56.63516599,,
0.05,0,-5.610329129,20.9135005,36.25940914,56.80813218,,
0.054166667,0,-5.465407618,21.10428663,36.4913728,56.97206401,,
0.058333333,0,-5.3292475,21.29298845,36.72233486,57.12531009,,
0.0625,0,-5.19450072,21.47736837,36.94973492,57.26742307,,
0.066666667,0,-5.057631615,21.65158369,37.16832442,57.39559316,,
0.070833333,0,-4.923464625,21.80427437,37.36790741,57.5015713,,
0.075,0,-4.804699501,21.92409681,37.53865954,57.57656441,,
0.079166667,0,-4.71067672,22.01000846,37.68041804,57.62153184,,
0.083333333,0,-4.633759733,22.07687984,37.80621952,57.65289727,,
0.0875,0,-4.55250558,22.14971897,37.93623706,57.6961988,,
0.091666667,0,-4.449778449,22.25047995,38.08823941,57.77211843,,
0.095833333,0,-4.324497136,22.39002692,38.27275879,57.8884635,,
0.1,0,-4.187356043,22.56960069,38.49262242,58.04293556,,
0.104166667,0,-4.047217248,22.78610573,38.74487244,58.23027325,,
0.108333333,0,-3.9015551,23.03586255,39.02411596,58.4471055,,
0.1125,0,-3.738130182,23.31534615,39.32437657,58.69241682,,
0.116666667,0,-3.543080134,23.62033026,39.63945378,58.96461844,,
0.120833333,0,-3.309614253,23.94505895,39.96361922,59.25825074,,
0.125,0,-3.043368342,24.28260312,40.29295153,59.56399061,,
0.129166667,0,-2.760833663,24.62585595,40.62596277,59.87100359,,
0.133333333,0,-2.483021479,24.96676872,40.96068917,60.16792945,,
0.1375,0,-2.228942366,25.29450139,41.28951031,60.44252759,,
0.141666667,0,-2.01072013,25.59660212,41.59899006,60.68212216,,
0.145833333,0,-1.831568039,25.86351253,41.87595358,60.87529767,,
0.15,0,-1.686247382,26.09326734,42.11354037,61.01587311,,
0.154166667,0,-1.561451215,26.29477579,42.31540168,61.10895778,,
0.158333333,0,-1.437633769,26.48537265,42.4953278,61.17080253,,
0.1625,0,-1.296737387,26.68146872,42.66894347,61.21901509,,
0.166666667,0,-1.129591869,26.89157263,42.84574583,61.26433627,,
0.170833333,0,-0.935226301,27.11636598,43.02871161,61.30999956,,
0.175,0,-0.718939322,27.35145989,43.21683459,61.35415422,,
0.179166667,0,-0.491574688,27.59033558,43.40664301,61.3926107,,
0.183333333,0,-0.266410494,27.82586898,43.59323322,61.42002714,,
0.1875,0,-0.058136569,28.04986254,43.77098765,61.42934664,,
0.191666667,0,0.117808871,28.25406543,43.93453874,61.41306232,,
0.195833333,0,0.249312287,28.43295106,44.07990681,61.36572569,,
0.2,0,0.32999378,28.58422165,44.20470768,61.28443074,,
0.204166667,0,0.359668346,28.70745073,44.30783788,61.16844567,,
0.208333333,0,0.346428798,28.80512131,44.39029105,61.02055816,,
0.2125,0,0.309696189,28.88680454,44.45831358,60.85078086,,
0.216666667,0,0.278916566,28.96979156,44.52376196,60.67683282,,
0.220833333,0,0.281866725,29.06940598,44.59494821,60.51421728,,
0.225,0,0.332024208,29.18820942,44.6680279,60.36570687,,
0.229166667,0,0.430141404,29.31780808,44.73160516,60.22412735,,
0.233333333,0,0.57298349,29.44715956,44.77585533,60.08098365,,
0.2375,0,0.755327564,29.56635284,44.79610713,59.93007579,,
0.241666667,0,0.966025609,29.66729889,44.79324693,59.76789525,,
0.245833333,0,1.184452501,29.74393092,44.77185615,59.592458,,
0.25,0,1.382800628,29.79146362,44.73634565,59.40075825,,
0.254166667,0,1.53423973,29.80578851,44.68844047,59.18795438,,
0.258333333,0,1.619883941,29.78349681,44.62660374,58.94859039,,
0.2625,0,1.632053613,29.72320365,44.54743616,58.67894711,,
0.266666667,0,1.577288513,29.63101428,44.45182849,58.38292552,,
0.270833333,0,1.477244592,29.52585123,44.3513274,58.07714711,,
0.275,0,1.36011951,29.43269706,44.26287217,57.78342763,,
0.279166667,0,1.247993216,29.3681668,44.19623372,57.51360139,,
0.283333333,0,1.155291224,29.33735377,44.15175734,57.26667869,,
0.2875,0,1.094236786,29.34129787,44.12754647,57.03817188,,
0.291666667,0,1.071634179,29.3781737,44.11995012,56.82319243,,
0.295833333,0,1.080110314,29.43675435,44.11627276,56.61080819,,
0.3,0,1.100590507,29.49764881,44.0963101,56.38542204,,
0.304166667,0,1.117152671,29.54572532,44.04560687,56.13829488,,
0.308333333,0,1.125527182,29.57701616,43.96230548,55.87282483,,
0.3125,0,1.127956848,29.593529,43.85194154,55.59763222,,
0.316666667,0,1.126312815,29.59687423,43.72125545,55.3185036,,
0.320833333,0,1.12013615,29.58667224,43.5762883,55.03634847,,
0.325,0,1.106936069,29.56163184,43.42347756,54.74982364,,
0.329166667,0,1.082368855,29.52049543,43.27049782,54.45860901,,
0.333333333,0,1.039474266,29.4613827,43.12372769,54.16379326,,
0.3375,0,0.968626885,29.38116535,42.9847825,53.86587572,,
0.341666667,0,0.862049493,29.2775333,42.8513037,53.56490779,,
0.345833333,0,0.722388101,29.1525063,42.72126479,53.26388432,,
0.35,0,0.565214867,29.01203328,42.59406202,52.96908717,,
0.354166667,0,0.408064122,28.8610892,42.46775691,52.68520146,,
0.358333333,0,0.25939132,28.70143335,42.33961876,52.41284891,,
0.3625,0,0.120559913,28.53444067,42.20982993,52.15123463,,
0.366666667,0,-0.009583964,28.36291359,42.08095449,51.89953229,,
0.370833333,0,-0.135548262,28.18931495,41.95361316,51.655359,,
0.375,0,-0.267049337,28.01447408,41.82535328,51.4147108,,
0.379166667,0,-0.418171377,27.83867678,41.69322298,51.17406291,,
0.383333333,0,-0.600202543,27.66266122,41.55516009,50.93167565,,
0.3875,0,-0.812399875,27.48716661,41.40951379,50.68707282,,
0.391666667,0,-1.039645116,27.31234951,41.25497574,50.44058367,,
0.395833333,0,-1.26040553,27.13770622,41.09080761,50.19428396,,
0.4,0,-1.460840371,26.96233275,40.91719582,49.95226938,,
0.404166667,0,-1.642540433,26.78562269,40.73582748,49.71834331,,
0.408333333,0,-1.817728008,26.60693173,40.54883036,49.49277604,,
0.4125,0,-1.999795864,26.42307552,40.3561822,49.27002863,,
0.416666667,0,-2.197642562,26.22820116,40.15572503,49.04041118,,
0.420833333,0,-2.413318791,26.02059143,39.94869134,48.79856176,,
0.425,0,-2.642611557,25.80780961,39.74420111,48.54994724,,
0.429166667,0,-2.881244508,25.60075058,39.55457421,48.30541471,,
0.433333333,0,-3.131186792,25.40505923,39.38672514,48.07214544,,
0.4375,0,-3.398494587,25.21998708,39.239246,47.85180287,,
0.441666667,0,-3.684538946,25.04226909,39.10628311,47.64392666,,
0.445833333,0,-3.983263984,24.86921377,38.98243291,47.4492989,,
0.45,0,-4.287560827,24.69863855,38.86415709,47.27087466,,
0.454166667,0,-4.590788899,24.52793262,38.7494651,47.11302319,,
0.458333333,0,-4.880763924,24.35461804,38.63716209,46.98085115,,
0.4625,0,-5.139607733,24.1772912,38.5251222,46.87952188,,
0.466666667,0,-5.354375247,23.99590602,38.41015862,46.81307206,,
0.470833333,0,-5.528663228,23.81128718,38.28989769,46.78280141,,
0.475,0,-5.681936072,23.62378504,38.16323835,46.78563003,,
0.479166667,0,-5.835232326,23.43238164,38.02949242,46.81408078,,
0.483333333,0,-5.996522396,23.23595353,37.88866129,46.8593487,,
0.4875,0,-6.158475161,23.03576358,37.74281636,46.91550744,,
0.491666667,0,-6.308601212,22.83596287,37.59703896,46.98067459,,
0.495833333,0,-6.44116785,22.64169515,37.45920676,47.05490924,,
0.5,0,-6.560150215,22.45787057,37.33921762,47.13916118,,
0.504166667,0,-6.671364182,22.2892044,37.24737289,47.23647187,,
0.508333333,0,-6.776188388,22.13930497,37.19104356,47.35176882,,
0.5125,0,-6.876482089,22.00900418,37.17204983,47.48949059,,
0.516666667,0,-6.979647065,21.89638812,37.18775125,47.6530264,,
0.520833333,0,-7.094849166,21.7983448,37.23308605,47.84580618,,
0.525,0,-7.226375827,21.71064311,37.30022219,48.06940726,,
0.529166667,0,-7.369682726,21.62669195,37.37825824,48.32051157,,
0.533333333,0,-7.512253453,21.53926024,37.45605336,48.59352021,,
0.5375,0,-7.638819188,21.44448582,37.5261072,48.8865514,,
0.541666667,0,-7.737855145,21.34252469,37.58510937,49.20186848,,
0.545833333,0,-7.806105069,21.23518538,37.63164795,49.54117024,,
0.55,0,-7.847448465,21.12386837,37.66404462,49.90268258,,
0.554166667,0,-7.867174284,21.00833188,37.6790359,50.28190935,,
0.558333333,0,-7.868998741,20.8868048,37.67194305,50.6735231,,
0.5625,0,-7.857414802,20.75679792,37.63739775,51.0720402,,
0.566666667,0,-7.839415744,20.6166461,37.5699234,51.47292811,,
0.570833333,0,-7.822068724,20.46823055,37.4659121,51.87483733,,
0.575,0,-7.809086007,20.31731782,37.3248826,52.27795049,,
0.579166667,0,-7.799654142,20.17017531,37.14774889,52.67862332,,
0.583333333,0,-7.790384652,20.03047343,36.93473057,53.06683022,,
0.5875,0,-7.778210395,19.8991804,36.6851289,53.4280696,,
0.591666667,0,-7.759526193,19.77656559,36.39950858,53.74724307,,
0.595833333,0,-7.72600645,19.66388124,36.08324489,54.01204866,,
0.6,0,-7.666826908,19.56268931,35.74740187,54.21362,,
0.604166667,0,-7.579310397,19.4727347,35.40584869,54.34549627,,
0.608333333,0,-7.473181574,19.39171459,35.07300212,54.40478169,,
0.6125,0,-7.364097899,19.31698723,34.7638353,54.39540001,,
0.616666667,0,-7.268032579,19.24655027,34.49346738,54.33022565,,
0.620833333,0,-7.198951946,19.17929546,34.27544499,54.22968578,,
0.625,0,-7.165615353,19.11527874,34.11862149,54.11607486,,
0.629166667,0,-7.168349213,19.05604622,34.02324784,54.00822945,,
0.633333333,0,-7.199821511,19.00526447,33.97987181,53.92110403,,
0.6375,0,-7.25099189,18.96863482,33.97326184,53.86702253,,
0.641666667,0,-7.316762429,18.95188952,33.98833881,53.85430229,,
0.645833333,0,-7.39551987,18.95875176,34.01372651,53.88478363,,
0.65,0,-7.48301007,18.99161014,34.04278067,53.95471828,,
0.654166667,0,-7.569580405,19.05168193,34.0723481,54.05745339,,
0.658333333,0,-7.645630366,19.13542115,34.09879496,54.18283765,,
0.6625,0,-7.704913661,19.23249177,34.11542225,54.31626474,,
